"Year";"PopularityRating";"BookTitle";"Author";"Genre";"FirstPoblicationYear";"Publisher";"OriginalLanguage";"Country";"RussianTranslationYear";"Description";"global_id";
"2018";"3";"«Патриот»";"Андрей Рубанов";"роман";"2017";"«АСТ»";"русский";"РОССИЯ";"";"Супермаркет бизнесмена Сергея Знаева «Готовься к войне» торгует телогрейками и готовится к краху. Сам Знаев плотно сидит на препаратах против воспаления лицевого нерва, тонет в долгах и однажды узнаёт, что у него есть шестнадцатилетний внебрачный сын Сергей - плод давнего и забытого романа с некой Вероникой. Знаев-старший признаёт вновь обретённого ребенка, находит его хорошем парнем и поддерживает контакт с его матерью. В то же время на бизнесмена серьезно давят конкурент Григорий Молнин и кредитор Женя Плоцкий - первый хочет выкупить или «отжать» супермаркет «Готовься к войне», а второй требует вернуть старый долг. Под натиском этих проблем Сергей Знаев задумывается о том, чтобы поехать воевать на стороне сепаратистов на Донбасс. Знакомые Знаева-старшего отговаривают его от боевой поездки, однако бизнесмен даже встречается с людьми, которые могут отправить его воевать. Но они также пытаются отговорить Сергея. Знаева начинают мучить галлюцинации из-за смешивания таблеток и алкоголя - привидившийся чёрт чуть было не заставляет бизнесмена покончить с собой. В плату долга Плоцкому Знаев продаёт квартиру и соглашается на сделку с Молниным. Перед самым отъездом Сергей оставляет крупную сумму внебрачному сыну, а ребёнок от бывшей жены Виталий от денег отказывается.Знаев-старший улетает из Москвы, но не на Украину, а в Лос-Анджелес.Там он живёт беззаботной жизнью и катается на доске для серфинга. Во время одного из ночных заплывов Сергея уносит в открытый океан, где он теряет силы.";"919214844";
"2018";"4";"«Авиатор»";"Евгений Водолазкин";"роман";"2016";"«АСТ»";"русский";"РОССИЯ";"";"Герой нового романа «Авиатор», очнувшись однажды на больничной койке, понимает, что не знает про себя ровным счетом ничего - ни своего имени, ни кто он такой, ни где находится. В надежде восстановить историю своей жизни, он начинает записывать посетившие его воспоминания, отрывочные и хаотичные - Петербург начала ХХ века, дачное детство в Сиверской и Алуште, гимназия и первая любовь, революция 1917-го, влюбленность в авиацию, Соловки. Но откуда он так точно помнит детали быта, фразы, запахи, звуки того времени, если на календаре - 1999 год.";"919214900";
"2018";"5";"«Лавр»";"Евгений Водолазкин";"роман";"2012";"«АСТ»";"русский";"РОССИЯ";"";"Действие романа происходит в средневековой Руси 15-16 века. Главный герой - травник Арсений, обладающий целительными способностями, выросший у деда Христофора, грамотея и ведуна. Его тайная возлюбленная, невенчаная жена Устина умирает во время родов, их сын погибает в утробе. Арсений, сокрушаясь, что Устина умерла из-за него и без причастия, стремится искупить грех и отмолить её душу, посвятив ей свою жизнь. С неослабевающей любовью к Устине он в течение своей долгой жизни становится странствующим травником, исцеляющим людей, юродивым, принявшим имя своей возлюбленной, путешествует паломником в Иерусалим и обратно, постригается в монахи, а потом в схиму, приняв имя Лавр.";"919216695";
"2018";"6";"«Текст»";"Дмитрий Глуховский";"роман";"2017";"«АСТ»";"русский";"РОССИЯ";"";"Москва, осень 2016 года. В город возвращается бывший студент-филолог Илья Горюнов, который отсидел семь лет за подкинутые в клубе наркотики. Главный герой не узнаёт столицу, которая сильно изменилась за эти годы. В особенности его глаз цепляется за смартфоны, которые раньше были «только у продвинутых», в сейчас у каждого. Горюнов направляется домой, в подмосковную Любню. Она, в отличие от Москвы, осталась той же. Героя охватывают воспоминания - школьные годы, бывшая девушка, друзья. Илья мечтает наконец увидеть мать, с которой он жил до ареста, но, приехав домой, узнаёт, что мать умерла от инфаркта за день до его возвращения. Илья приглашает к себе старого друга Серёгу, но при встрече понимает, что они стали друг другу чужими. С помощью телефона товарища Горюнов находит в «Контакте» страницу Петра Хазина - лейтенанта ФСКН, который семь лет назад отправил Илью за решётку, подкинув наркотики. Сам герой называет его про себя «Сукой». Видя довольное лицо человека, сломавшего ему жизнь, герой решает отомстить. В итоге в руках Горюнова оказывается телефон его обидчика, в котором спрятана вся жизнь и весь компромат на Хазина.";"919216704";
"2018";"7";"«Тайный год»";"Михаил Гиголашвили";"роман";"2017";"«АСТ»";"русский";"РОССИЯ";"";"1575 год, страна разорена опричниной. Иван Грозный, разочаровавшийся в своих реформах и уставший от власти, отправляется в Александрову слободу, чтобы посвятить жизнь семье и спасению души. Его жена не отходит от прикованного к кровати ребенка. Да и сам Грозный не здоров. Его мучают боли, кошмары и галлюцинации. Слуги, бросающиеся врассыпную при любом его неловком движении, обсуждают его безумства за спиной. Он злится, но понимает, что пересуды о его ненормальности имеют под собой твердую почву. Мы видим уставшего, но не сломленного человека. Несмотря ни на что Грозный продолжает вести активную жизнь - принимает послов, отдает приказы, выделяет деньги. Он строит планы на будущее и продолжает мечтать.";"919216715";
"2018";"8";"«С неба упали три яблока»";"Наринэ Абгарян";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"История одной маленькой деревни, затерянной высоко в горах, и её немногочисленных обитателей, каждый из которых немножко чудак, немножко ворчун и в каждом из которых таятся настоящие сокровища духа.";"919216808";
"2018";"9";"«Дети мои»";"Гузель Яхина";"роман";"2018";"«АСТ»";"русский";"РОССИЯ";"";"Поволжье, 1920-1930-е годы. Якоб Бах - российский немец, учитель в колонии Гнаденталь. Он давно отвернулся от мира, растит единственную дочь Анче на уединенном хуторе и пишет волшебные сказки, которые чудесным и трагическим образом воплощаются в реальность.";"919216846";
"2018";"10";"«Город Брежнев»";"Шамиль Идиатуллин";"роман";"2017";"«Азбука-Аттикус»";"русский";"РОССИЯ";"";"Тринадцатилетний Артур живёт в лучшей в мире стране СССР и лучшем в мире городе Брежневе. Живёт полной жизнью счастливого советского подростка - зевает на уроках и пионерских сборах, поёт под гитару в подъезде, балдеет на дискотеках, мечтает научиться запрещённому каратэ и очень не хочет ехать в надоевший пионерлагерь. Но именно в пионерлагере Артур исполнит мечту - встретит первую любовь и первого наставника. Эта встреча навсегда изменит жизнь Артура, его родителей, друзей и всего лучшего в мире города лучшей в мире страны, которая незаметно для всех и для себя уже хрустнула и начала рассыпаться на куски и в прах.";"919216878";
"2019";"1";"«Авиатор»";"Евгений Водолазкин";"роман";"2016";"«АСТ»";"русский";"РОССИЯ";"";"Евгений Водолазкин - прозаик, филолог. Автор. В России его называют «русским Умберто Эко», в Америке - после выхода «Лавра» на английском - «русским Маркесом». Ему же достаточно быть самим собой. Произведения Водолазкина переведены на многие иностранные языки. Новый роман лауреата премии «Большая книга», бестселлера «Лавр» и изящного романа «Соловьев и Ларионов» Евгения Водолазкина «Авиатор» - яркое событие в литературе. Книга оценивается критиками как один самых ожидаемых русских романов 2016 года (по версии Форбс, Медуза и др.) Герой романа «Авиатор» - человек в состоянии табула раса. Очнувшись однажды на больничной койке, он понимает, что не знает про себя ровным счётом ничего - ни своего имени, ни кто он такой, ни где находится. В надежде восстановить историю своей жизни, он начинает записывать посетившие его воспоминания, отрывочные и хаотичные. Петербург начала ХХ века, дачное детство в Сиверской и Алуште, гимназия и первая любовь, революция 1917-го, влюбленность в авиацию, Соловки Но откуда он так точно помнит детали быта, фразы, запахи, звуки того времени, если на календаре - 1999 год? На передней стороне переплета рисунок Михаила Шемякина, созданный специально для этого издания.";"1035304940";
"2019";"2";"«Зулейха открывает глаза»";"Гузель Яхина";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"Гузель Яхина родилась и выросла в Казани, окончила факультет иностранных языков, учится на сценарном факультете Московской школы кино. Публиковалась в журналах «Нева», «Сибирские огни», «Октябрь». Роман «Зулейха открывает глаза» начинается зимой 1930 года в глухой татарской деревне. Крестьянку Зулейху вместе с сотнями других переселенцев отправляют в вагоне-теплушке по извечному каторжному маршруту в Сибирь.
Дремучие крестьяне и ленинградские интеллигенты, деклассированный элемент и уголовники, мусульмане и христиане, язычники и атеисты, русские, татары, немцы, чуваши - все встретятся на берегах Ангары, ежедневно отстаивая у тайги и безжалостного государства свое право на жизнь.
Всем раскулаченным и переселенным посвящается.";"1035304947";
"2019";"3";"«Петровы в гриппе и вокруг него»";"Алексей Сальников";"роман";"2016";"«АСТ»";"русский";"РОССИЯ";"";"Алексей Сальников родился в 1978 году в Тарту. Публиковался в альманахе «Вавилон», журналах «Воздух», «Урал», «Волга». Автор трех поэтических сборников. Лауреат премии «ЛитератуРРентген» (2005), финалист «Большой книги» и «НОС». Живет в Екатеринбурге. Пишет Сальников как, пожалуй, никто другой сегодня, а именно - свежо, как первый день творения. На каждом шагу он выбивает у читателя почву из-под ног, расшатывает натренированный многолетним чтением «нормальных» книг вестибулярный аппарат. Все случайные знаки, встреченные гриппующими Петровыми в их болезненном полубреду, собираются в стройную конструкцию без единой лишней детали. Из всех щелей начинает сочиться такая развеселая хтонь и инфернальная жуть, что Мамлеев с Горчевым дружно пускаются в пляс, а Гоголь с Булгаковым аплодируют. Поразительный, единственный в своем роде язык, заземленный и осязаемый материальный мир и по-настоящему волшебная мерцающая неоднозначность (то ли все происходящее в романе - гриппозные галлюцинации трех Петровых, то ли и правда обнажилась на мгновение колдовская изнанка мира) - как ни посмотри, выдающийся текст и настоящий читательский праздник. Галина Юзефович.";"1035304954";
"2019";"4";"«Призрак Канта»";"Татьяна Устинова";"роман";"2016";"«Эксмо»";"русский";"РОССИЯ";"";"Что может быть лучше отпуска... с приключениями! Однако инженер Василий Меркурьев, так мечтавший о холодном море и осеннем лесе, не желает никаких приключений!.. Но они начинаются, как только он приезжает в небольшой отель на взморье. Хозяин знакомит его с постояльцами, среди которых студентка, скучающий юноша, девица, явно вышедшая на охоту, и... молодая ведьма. Меркурьев, разумеется, ни в каких ведьм не верит. И тут, словно в насмешку, окружающая действительность начинает шутить с ним странные шутки. Старинную книгу о жизни философа Канта словно кто-то читает, огонь в камине загорается сам собой, а на заброшенном маяке происходит... убийство. Василий Меркурьев точно знает, что не существует ни ведьм, ни призраков, ни духов - и все время натыкается на тайные или явные следы их присутствия. Даже любовь с молодой ведьмой - или не ведьмой?.. - ему словно напророчили потусторонние силы... Иногда на самом деле бывает трудно поверить. Еще труднее осознать и принять! Но если разрешить себе поверить - жизнь оказывается полна чудес, и не выдуманных, а самых настоящих!";"1035304980";
"2019";"5";"«Дети мои»";"Гузель Яхина";"роман";"2018";"«АСТ»";"русский";"РОССИЯ";"";"«Дети мои» - новый роман Гузель Яхиной, самой яркой дебютантки в истории российской литературы новейшего времени, лауреата премий «Большая книга» и «Ясная Поляна» за бестселлер «Зулейха открывает глаза». «Дети мои» - необыкновенный роман, продолжающий любимую автором тему удивительного сплетения этносов, культур, народов, людских судеб. Если в книге «Зулейха открывает глаза», как метко подметила писатель и переводчик Елена Костюкович, автор «швырнула нас в Сибирь и при этом показала татарщину в себе, и в России, и, можно сказать, во всех нас», то в новом романе пришло время другого исследования - трагических судеб, причудливого фольклора и жизненного уклада поволжских немцев, впоследствии разрушенного депортацией 1941 года. «Я хотела рассказать о мире немецкого Поволжья - ярком, самобытном, живом - о мире, когдато созданном пришлыми людьми в чужой стране, а сегодня затерянном в прошлом. Но это еще и история о том, как большая любовь порождает страхи в нашем сердце и одновременно помогает их превозмочь» Гузель Яхина.";"1035304992";
"2019";"6";"Наполеонов обоз. Книга 1. Рябиновый клин";"Дина Рубина";"роман";"2018";"«Эксмо»";"русский";"РОССИЯ";"";"«Главное в этой книге - любовь. Такая, какая выпадает не каждой паре, снести которую не каждому дано. Аристарх и Надежда встречаются в детстве, вырастают в этой огромной любви, пока не сталкиваются с предательством, сломавшем их жизни, перевернувшем все намерения и планы. Жизнь вышвырнула каждого за пределы круга любви, чтобы спустя двадцать пять лет, полностью изменившихся, вернуть друг другу». Дина Рубина.";"1035304997";
"2019";"7";"«С неба упали три яблока»";"Наринэ Абгарян";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"История одной маленькой деревни, затерянной высоко в горах, и ее немногочисленных обитателей, каждый из которых немножко чудак, немножко ворчун и в каждом из которых таятся настоящие сокровища духа.";"1035305119";
"2019";"8";"«После измены»";"Мария Метлицкая";"легкая проза";"2015";"«Эксмо»";"русский";"РОССИЯ";"";"Что может быть ужаснее предательства близкого человека? Того, кто был рядом много лет, с которым прошли через все трудности и испытания, вырастили ребенка? Как смириться с тем, что он полюбил другую? Героиня новой книги Ирина в первую очередь мучается от того, что не может простить мужа, не может начать всё сначала, сделать вид, что ничего не было. Все вокруг говорят, что «поход налево» - дело житейское, что все мужчины изменяют, и многие её подруги, соседки, приятельницы прошли через этот ад, кто-то с большими, кто-то с меньшими потерями. Но Ирина, как ни старается, не может примерить их опыт на себя. Как смириться с тем, что он полюбил другую?";"1035305956";
"2019";"9";"«Земное притяжение»";"Татьяна Устинова";"роман";"2017";"«Эксмо»";"русский";"РОССИЯ";"";"Их четверо. Летчик из Анадыря, знаменитый искусствовед, шаманка из Алтайского села, модная московская художница. У каждого из них своя жизнь, но возникает внештатная ситуация, и эти четверо собираются вместе. Точнее - их собирают для выполнения задания!.. В Тамбовской библиотеке умер директор, а вслед за этим происходят странные события - библиотека разгромлена, словно в ней пытались найти все сокровища мира, а за сотрудниками явно кто-то следит. Что именно было спрятано среди книг?.. И отчего так важно это найти?.. Кто эти четверо? Почему они умеют все - управлять любыми видами транспорта, стрелять, делать хирургические операции, разгадывать сложные шифры?.. Летчик, искусствовед, шаманка и художница - ответят на все вопросы и пройдут все испытания. У них за плечами - целая общая жизнь, которая вмещается все - любовь, расставания, ссоры с близкими, старые обиды и новые надежды. Они справятся с заданием, распутают клубок, переживут потери и обретут любовь - земного притяжения никто не отменял!..";"1035305960";
"2019";"10";"«Цена вопроса. Том 2»";"Александра Маринина";"роман";"2017";"«Эксмо»";"русский";"РОССИЯ";"";"Программа против Системы. Системы всесильной и насквозь коррумпированной, на все имеющей цену и, при этом, ничего не способной ценить по-настоящему. Возможно ли такое? Генерал МВД Шарков твердо верил, что управляемая им Программа – последний шанс навести порядок в правоохранительных органах. Так было до тех пор, пока не исчез один из ее участников, одержимый радикальными идеями. А затем начались эти странные «парные» убийства И стало понятно, что если сегодня не остановить убийцу-фанатика, то завтра Программе придет конец. Но какую цену готов заплатить генерал Шарков за дело всей своей жизни? И чего это будет стоить полковнику Большакову и капитану Дзюбе, уже подключившихся к расследованию?";"1035305967";
"2019";"1";"Серия фантастических романов о Гарри Поттере";"Джоан Кэтлин Роулинг";"фэнтези";"1997";"«Росмен», «Махаон»";"английский";"СОЕДИНЕННОЕ КОРОЛЕВСТВО";"2000";"Серия романов, написанных британской писательницей Дж.К.Роулинг. Книги представляют собой хронику приключений юного волшебника Гарри Поттера, а также его друзей Рона Уизли и Гермионы Грейнджер, обучающихся в школе чародейства и волшебства Хогвартс. Основной сюжет посвящён противостоянию Гарри и тёмного волшебника по имени лорд Волан-де-Морт, в чьи цели входит обретение бессмертия и порабощение магического мира.";"1035307653";
"2019";"2";"«Верните меня в книжку»";"Тьерри Робберехт";"проза для детей";"2017";"«ЭНАС-КНИГА»";"французский";"ФРАНЦИЯ";"2017";"В комнате у маленькой Лизы - переполох. Кот сбросил на пол книжку, и оттуда выпал волк. Он рад бы вернуться домой, но все время попадает или не в ту книжку, или не на ту страницу Забавную историю про потерявшегося сказочного волка придумали французский писатель Тьерри Робберехт и художник Грегуар Мабир, знакомый нашим читателям по книжке «Как мыши в поход ходили».";"1035307660";
"2019";"3";"«Мэйделин Финн и библиотечная собака»";"Лиза Папп";"проза для детей";"2017";"«Поляндрия»";"английский";"СОЕДИНЕННЫЕ ШТАТЫ";"2017";"Мэйделин Финн НЕ ЛЮБИТ читать. Ни книжки. Ни журналы. Ни даже рекламу мороженого. К счастью, девочка подружилась с библиотечной собакой Бонни. И оказалось, что это не так уж и плохо, когда читаешь книжку вслух для Бонни. Потому что Бонни не сердится, если девочка запинается, а кроме того, можно погладить собаку, пока выговариваешь трудное слово. И вообще, хорошо читать, когда не боишься сделать ошибку. Вместе с Бонни девочка понимает, что нужно стараться и не торопиться, тем более когда рядом такой друг.";"1035307676";
"2019";"4";"«Совиный волк»";"Анастасия Строкина";"проза для детей";"2017";"«Росмен»";"русский";"РОССИЯ";"";"«Совиный волк» трогательная повесть о жизни на Крайнем севере, о полярной ночи, холоде и одиночестве и о том, как найти в своем сердце любовь к этому пустынному краю. Автор книги Анастасия Строкина – поэтесса и переводчица, победительница конкурса «Новая детская книга», финалистка премии им. В.Крапивина.";"1035307679";
"2019";"5";"«Амели и рыбка»";"Хельга Банш";"проза для детей";"2013";"«Молодая мама»";"немецкий";"АВСТРИЯ";"2017";"Амели полюбила рыбку и забрала ее из моря домой. Но подружка в неволе заболела! Что же делать? Книга Хельги Бланш подскажет как жить в мире с друзьями и уважать их свободу.";"1035307713";
"2019";"6";"«Муму», «Записки охотника»";"Иван Тургенев";"проза для детей";"1852";"«Детская литература»";"русский";"РОССИЯ";"";"В книгу вошли рассказ «Муму» и «Записки охотника» И.С.Тургенева. Рассказ «Муму» основан на реальных событиях, которые происходили в доме матери писателя. Дворник Герасим, человек богатырского сложения, глухонемой от рождения, усерден и исполнителен в работе. Нелегкая судьба и крах любви не озлобили его сердце. Герасим спасает свалившегося в воду щенка, приносит домой и дает кличку Муму (это слово он может произнести). Подросшая собачка доверчива и ласкова со всеми, а вот с барыней она не сдружилась. Барыня велит прогнать собаку. Герасим выполняет приказ «Записки охотника» - цикл рассказов из жизни мелкопоместного дворянства и помещиков, их крепостных и свободных крестьян, о быте и об обычаях, о нравах и характерах, о любви и обмане, и конечно, о красоте природы России. Для среднего школьного возраста.";"1035307723";
"2019";"7";"«Повести Белкина», «Пиковая дама»";"Александр Пушкин";"проза для детей";"1831";"«Детская литература»";"русский";"РОССИЯ";"";"Серия рекомендована Управлением общего среднего образования Министерства общего и профессионального образования РФ. В книгу вошли широко известные произведения А. С. Пушкина - «Повести покойного Ивана Петровича Белкина» и «Пиковая дама». Для старшего школьного возраста.";"1035307729";
"2019";"8";"«Лошадиная фамилия»";"Антон Чехов";"проза для детей";"1885";"«Детская литература»";"русский";"РОССИЯ";"";"В книгу вошли юмористические рассказы и водевили Антона Павловича Чехова - «Пересолил», «Толстый и тонкий», «Хирургия», «Налим», «Предложение», «Юбилей» и другие. Для среднего школьного возраста.";"1035307757";
"2019";"9";"«Чужак в огороде»";"Свен Нурдквист";"проза для детей";"2008";"«Открытый мир»";"шведский";"ШВЕЦИЯ";"2008";"У Петсона в курятнике десять кур. Котенок Финдус часто их дразнит. Иногда они вместе играют в салочки. Если не считать Петсона, куры - самые близкие друзья Финдуса. Но в один прекрасный день в огороде появляется огромный и красивый петух. Приключения начинаются! Истории про незадачливого старика Петсона и его друга - озорного кота Финдуса - переведены на многие языки и удостоены огромного количества литературных премий. Благодаря ярким персонажам, увлекательному сюжету и великолепным иллюстрациям они признаны классикой современной детской литературы. «Чужак в огороде» - это книга о том, что все люди разные, надо учиться жить вместе и быть терпимее к другим.";"1035307764";
"2019";"10";"«Конь с розовой гривой»";"Виктор Астафьев";"проза для детей";"1968";"«Детская литература»";"русский";"РОССИЯ";"";"В книгу входят рассказы о родине писателя - Сибири, о его детстве, этой удивительно светлой и прекрасной поре. Для среднего школьного возраста.";"1035307783";
